,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
259,PW12 - P5,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
260,PW13 - 21,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
261,PW13 - 21,1.5,5.3,3.4,Fine,Glaciolacustrine,3,45,0.116078671
262,PW13 - 33,1.5,3,2.25,Fine,Glaciolacustrine,3,8,0.062877033
263,PW13 - 33,0,1.5,0.75,Fine,Glaciolacustrine,3,8,0.066119007
264,PW13 - 33,4.6,6.1,5.35,Fine,Glaciolacustrine,3,0,0.048865674
265,PW13 - 33,3,4.6,3.8,Fine,Glaciolacustrine,3,45,0.114630797
266,PW13 - 58,6.1,7.6,6.85,Fine,Glaciolacustrine,3,0,0.046408519
267,PW13 - 58,0.2,1.8,1,Fine,Glaciolacustrine,3,45,0.125097861
268,PW13 - 58,4.6,6.1,5.35,Fine,Glaciolacustrine,3,8,0.056630983
269,PW13 - 58,3,4.6,3.8,Fine,Glaciolacustrine,3,8,0.05967952
270,PW13 - 58,1.8,3,2.4,Fine,Glaciolacustrine,3,0,0.05405006
271,PW13 - 61,3,6.1,4.55,Fine,Glaciolacustrine,3,0,0.050224511
272,PW13 - 61,1.5,3,2.25,Fine,Glaciolacustrine,3,45,0.120328737
273,PW13 - 61,0,1.5,0.75,Fine,Glaciolacustrine,3,45,0.126070644
274,PW13 - P1,2.3,3.6,2.95,Fine,Glaciolacustrine,3,0,0.053046802
275,PW13 - P1,8,10.6,9.3,Fine,Glaciolacustrine,3,45,0.096248361
276,PW13 - P1,4.2,8,6.1,Fine,Glaciolacustrine,3,45,0.106603314
277,PW13 - P1,3.6,4.2,3.9,Fine,Glaciolacustrine,3,45,0.114271258
278,PW13 - P2,0,2.5,1.25,Fine,Glaciolacustrine,3,45,0.124131431
279,PW13 - P3,3.4,8,5.7,Fine,Glaciolacustrine,3,0,0.048281873
280,PW13 - P4,1.5,6.1,3.8,Fine,Glaciolacustrine,3,8,0.05967952
