,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
1440,GSC3 - 16,4.6,7.3,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
1443,GSC3 - 16,0,1.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
1447,GSC3 - 17,0,1.8,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Flat,0,Clay,Lacustrine,None,2,Glaciolacustrine,3,Near ice wedge polygons
1462,GSC3 - 24,2.1,3.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1463,GSC3 - 24,0.2,2.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1469,GSC3 - 25,1.4,2.1,Clay,CL-ML,No,Yes,,,0,0,0,Moderately rugged,Rolling,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1488,GSC3 - 31,0.8,3.7,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0.8,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1504,GSC3 - 7,3.1,3.4,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1507,GSC3 - 7,0.2,1.8,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0.2,Clay,Lacustrine,Organics,3,Glaciolacustrine,3,Near ice wedge polygons
1522,GSC4 - 11,4.3,4.7,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,
1527,GSC4 - 12,2.1,2.9,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Silt/clay,Hummocky,None,2,Glaciolacustrine,3,
1528,GSC4 - 12,2.9,6.1,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Silt/clay,Hummocky,None,2,Glaciolacustrine,3,
1529,GSC4 - 13,3.1,4.9,Clay,CL-ML,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
